title,open_date,quarter,n_aud,n_screen,n_show,distributor,director,actor,score,genre,actor_power,genre_power,distributor_power
덕구,2018.4.5,2,315663 ,544 ,19006 ,기타,방수인,"이순재, 정지훈",9 ,드라마,705055 ,554968598 ,120697397 
번 더 스테이지: 더 무비,2018.11.15,4,315010 ,243 ,4714 ,기타,,"RM, 진, 슈가, 제이홉, 지민, 뷔, 정국",9 ,한국,6954150 ,315010 ,120697397 
마이 블랙 미니드레스,2011.3.24,1,313953 ,325 ,20166 ,씨제이,허인무,"윤은혜, 박한별, 차예련, 유인나",7 ,드라마,1803320 ,554968598 ,332822481 
위대한 소원,2016.4.21,2,308398 ,524 ,22769 ,넥스트,남대중,"류덕환, 김동영, 안재홍, 전노민, 전미선",8 ,"코미디, 드라마",12921792 ,765074465 ,160156018 
위험한 관계,2012.10.11,4,298086 ,334 ,17886 ,씨제이,허진호,"장동건, 장쯔이, 장백지",8 ,"멜로/로맨스, 드라마",7141036 ,625161151 ,332822481 
미성년,2019.4.11,2,293352 ,673 ,27314 ,쇼박스,김윤석,"염정아, 김소진, 김혜준, 박세진, 김윤석",8 ,드라마,64293272 ,554968598 ,194689255 
배심원들,2019.5.15,2,288579 ,784 ,20271 ,기타,홍승완,"문소리, 박형식",9 ,드라마,6654468 ,554968598 ,120697397 
혼숨,2016.10.26,4,288016 ,498 ,14510 ,기타,이두환,"류덕환, 조복래",7 ,공포,2978204 ,17563966 ,120697397 
기방도령,2019.7.10,3,287053 ,625 ,16652 ,기타,남대중,"준호, 정소민, 최귀화, 예지원, 공명",6 ,코미디,22595688 ,210105867 ,120697397 
다이노 타임,2015.4.30,2,284900 ,430 ,6713 ,씨제이,최윤석,"멜라니 그리피스, 제인 린치, 윌리암 볼드윈, 스티븐 볼드윈, 롭 슈나이더, 파멜라 애들론, 타라 스트롱, 유리 로웬탈",8 ,"애니메이션, 모험, 코미디, 가족",2279200 ,281665565 ,332822481 
네버엔딩 스토리,2012.1.18,1,283449 ,269 ,13651 ,기타,정용주,"엄태웅, 정려원",7 ,"멜로/로맨스, 코미디",7016124 ,280298420 ,120697397 
극장판 안녕 자두야,2016.5.4,2,280406 ,523 ,7758 ,씨제이,손석우,"여민정, 양정화",8 ,애니메이션,3536240 ,15798986 ,332822481 
가비,2012.3.15,1,270602 ,339 ,17388 ,기타,장윤현,"주진모, 김소연, 박희순, 유선",7 ,"미스터리, 드라마",32119107 ,594206657 ,120697397 
롤러코스터,2013.10.17,4,270148 ,374 ,14726 ,씨제이,하정우,"정경호, 한수현",6 ,코미디,1875903 ,210105867 ,332822481 
기묘한 가족,2019.2.13,1,263598 ,625 ,15314 ,기타,이민재,"정재영, 김남길, 엄지원, 이수경, 정가람, 박인환",6 ,코미디,55270751 ,210105867 ,120697397 
악질경찰,2019.3.20,1,262233 ,833 ,22785 ,기타,이정범,"이선균, 전소니, 박해준",6 ,드라마,37115850 ,554968598 ,120697397 
함정,2015.9.10,3,257990 ,445 ,10899 ,기타,권형진,"마동석, 조한선, 김민경, 지안",6 ,"스릴러, 범죄",78331768 ,256927816 ,120697397 
밤의 여왕,2013.10.17,4,252475 ,333 ,13286 ,기타,김제영,"김민정, 천정명",7 ,"멜로/로맨스, 코미디",1664971 ,280298420 ,120697397 
비밀은 없다,2016.6.23,2,250829 ,502 ,14749 ,씨제이,이경미,"손예진, 김주혁",7 ,스릴러,46798267 ,104270636 ,332822481 
마마,2011.6.1,2,243209 ,269 ,12667 ,롯데,최익환,"엄정화, 김해숙, 유해진, 전수경, 류현경, 이형석",8 ,드라마,99912028 ,554968598 ,159188751 
적과의 동침,2011.4.27,2,243094 ,391 ,14069 ,쇼박스,박건용,"김주혁, 정려원, 유해진",8 ,"드라마, 코미디",87073598 ,765074465 ,194689255 
순정,2016.2.24,1,240484 ,467 ,10545 ,기타,이은희,"디오, 김소현, 연준석, 이다윗, 주아름, 김지호, 박해준, 박용우, 이대연",9 ,드라마,26454893 ,554968598 ,120697397 
미옥,2017.11.9,4,238587 ,635 ,18099 ,기타,이안규,"김혜수, 이선균",5 ,"느와르, 범죄, 액션",55140421 ,462043192 ,120697397 
어느날,2017.4.5,2,234829 ,532 ,17748 ,기타,이윤기,"김남길, 천우희",8 ,멜로/로맨스,27488179 ,70192553 ,120697397 
강철대오:구국의 철가방,2012.10.25,4,233211 ,366 ,15187 ,롯데,육상효,"김인권, 유다인, 조정석, 박철민",6 ,코미디,52792805 ,210105867 ,159188751 
치즈인더트랩,2018.3.14,1,229005 ,364 ,14710 ,기타,김제영,"박해진, 오연서, 박기웅, 유인영",5 ,"멜로/로맨스, 스릴러",8585032 ,174463189 ,120697397 
분노의 윤리학,2013.2.21,1,225618 ,302 ,11909 ,롯데,박명랑,"이제훈, 조진웅, 김태훈, 곽도원, 문소리",7 ,"범죄, 드라마",118327409 ,707625778 ,159188751 
1급기밀,2018.1.24,1,217803 ,512 ,11352 ,기타,홍기선,"김상경, 김옥빈, 최무성",9 ,드라마,16668881 ,554968598 ,120697397 
나는 공무원이다,2012.7.12,3,217719 ,278 ,10866 ,넥스트,구자홍,"윤제문, 송하윤, 성준, 김희정, 서현정, 권수현",6 ,"코미디, 드라마",15485150 ,765074465 ,160156018 
속닥속닥,2018.7.13,3,217444 ,314 ,8246 ,기타,최상훈,"소주연, 김민규",5 ,"공포, 미스터리",434888 ,56802025 ,120697397 
연애의 맛,2015.5.7,2,214539 ,398 ,12474 ,쇼박스,김아론,"오지호, 강예원",7 ,"코미디, 멜로/로맨스",15017348 ,280298420 ,194689255 
투혼,2011.10.6,4,210970 ,356 ,15008 ,롯데,김상진,"김주혁, 김선아, 오재무, 전민서",8 ,드라마,19119636 ,554968598 ,159188751 
덕수리 5형제,2014.12.4,4,210777 ,346 ,10719 ,롯데,전형준,"윤상현, 송새벽, 이아이, 찬성, 김지민, 이광수",7 ,"코미디, 스릴러",12023381 ,314376503 ,159188751 
자칼이 온다,2012.11.15,4,210278 ,300 ,11257 ,롯데,배형준,"송지효, 김재중, 오달수",6 ,"코미디, 드라마",91621714 ,765074465 ,159188751 
코알라 키드 : 영웅의 탄생,2012.1.12,1,205579 ,234 ,6761 ,롯데,이경호,"태민, 써니, 윤다훈, 정은별",9 ,애니메이션,822316 ,15798986 ,159188751 
어린 의뢰인,2019.5.22,2,204259 ,671 ,17416 ,롯데,장규성,"이동휘, 유선, 최명빈, 이주원",9 ,드라마,21995773 ,554968598 ,159188751 
남과 여,2016.2.25,1,203775 ,449 ,9790 ,쇼박스,이윤기,"전도연, 공유",8 ,멜로/로맨스,35884439 ,70192553 ,194689255 
비스트,2019.6.26,2,203042 ,737 ,12404 ,넥스트,이정호,"이성민, 유재명, 전혜진, 최다니엘",5 ,"범죄, 스릴러",37013066 ,256927816 ,160156018 
언니,2019.1.1,1,197134 ,530 ,11315 ,기타,임경택,"이시영, 박세완, 이준혁, 최진호",6 ,액션,7488245 ,304344210 ,120697397 
언더독,2019.1.16,1,195183 ,612 ,10774 ,넥스트,오성윤,"디오, 박소담, 박철민",9 ,애니메이션,21242904 ,15798986 ,160156018 
응징자,2013.10.30,4,192347 ,305 ,12023 ,기타,신재호,"양동근, 주상욱, 이태임",6 ,"액션, 스릴러",5521364 ,408614846 ,120697397 
런닝맨 : 풀룰루의 역습,2018.12.5,4,186912 ,511 ,5521 ,넥스트,윤준상,"김서영, 권창욱, 엄상현, 김연우, 강시현, 전태열",8 ,애니메이션,13467027 ,15798986 ,160156018 
우상,2019.3.20,1,183784 ,900 ,18545 ,기타,이수진,"한석규, 설경구, 천우희",4 ,스릴러,45023106 ,104270636 ,120697397 
마이 리틀 히어로,2013.1.9,1,183650 ,341 ,11663 ,씨제이,김성훈,"김래원, 이성민, 조안, 이광수, 지대한",8 ,드라마,32408037 ,554968598 ,332822481 
채비,2017.11.9,4,177428 ,480 ,9981 ,기타,조영준,"고두심, 김성균",9 ,드라마,21464150 ,554968598 ,120697397 
두번할까요,2019.10.17,4,176020 ,658 ,16246 ,기타,박용집,"권상우, 이정현, 이종혁",5 ,"코미디, 멜로/로맨스",16514675 ,280298420 ,120697397 
톱스타,2013.10.24,4,175153 ,397 ,12218 ,롯데,박중훈,"엄태웅, 김민준, 소이현, 김수로",7 ,드라마,10741560 ,554968598 ,159188751 
아빠를 빌려드립니다,2014.11.20,4,172652 ,326 ,8457 ,기타,김덕수,"김상경, 문정희, 최다인, 채정안, 조재윤",8 ,드라마,30306914 ,554968598 ,120697397 
자전차왕 엄복동,2019.2.27,1,172212 ,624 ,11245 ,기타,김유성,"비, 강소라, 이범수",4 ,드라마,24545081 ,554968598 ,120697397 
대배우,2016.3.30,1,169984 ,474 ,16517 ,기타,석민우,"오달수, 윤제문, 이경영",6 ,코미디,111087648 ,210105867 ,120697397 
노리개,2013.4.18,2,169064 ,278 ,11564 ,기타,최승호,"마동석, 이승연, 민지현, 이도아",7 ,드라마,78064990 ,554968598 ,120697397 
진범,2019.7.10,3,168119 ,224 ,8819 ,기타,고정욱,"송새벽, 유선",6 ,스릴러,7687189 ,104270636 ,120697397 
나는 아빠다,2011.4.14,2,168049 ,300 ,15810 ,롯데,전만배,"김승우, 손병호, 임하룡, 최정윤, 김새론",6 ,"액션, 드라마, 범죄",6304139 ,1011969988 ,159188751 
최강전사 미니특공대 : 새로운 악당의 습격,2015.2.5,1,155348 ,318 ,4610 ,기타,이영준,"엄상현, 전태열, 신용우, 이소영, 성완경, 양정화",8 ,애니메이션,10323215 ,15798986 ,120697397 
달빛궁궐,2016.9.7,3,153097 ,425 ,6067 ,넥스트,김현주,"이하늬, 김슬기, 권율, 김서영",6 ,"애니메이션, 판타지, 모험",38112554 ,93208235 ,160156018 
비정규직 특수요원,2017.3.16,1,149719 ,497 ,11132 ,기타,김덕수,"강예원, 한채아",6 ,"코미디, 액션",8297961 ,514450077 ,120697397 
워킹걸,2015.1.7,1,149181 ,308 ,7076 ,기타,정범식,"조여정, 클라라, 김태우",6 ,"코미디, 멜로/로맨스",17452939 ,280298420 ,120697397 
은밀한 유혹,2015.6.4,2,145547 ,394 ,14968 ,씨제이,윤재구,"임수정, 유연석",5 ,"범죄, 멜로/로맨스",12802069 ,222849733 ,332822481 
가시,2014.4.10,2,142170 ,356 ,11622 ,기타,김태균,"장혁, 조보아, 선우선",7 ,"서스펜스, 멜로/로맨스",8508248 ,71841349 ,120697397 
극장판 또봇: 로봇군단의 습격,2017.4.27,2,141865 ,231 ,3905 ,씨제이,이달,"하룡이, 신경선, 이현, 노영주",9 ,애니메이션,567460 ,15798986 ,332822481 
나를 기억해,2018.4.19,2,141222 ,545 ,14322 ,기타,이한욱,"이유영, 김희원",7 ,"미스터리, 범죄, 스릴러",7099953 ,296165875 ,120697397 
독전: 익스텐디드 컷,2018.7.18,3,137871 ,398 ,5656 ,넥스트,이해영,"조진웅, 류준열, 김주혁, 김성령, 박해준",8 ,"범죄, 액션",133788052 ,457001390 ,160156018 
0.0MHz,2019.5.29,2,137294 ,446 ,5998 ,기타,유선동,"정은지, 이성열, 최윤영, 신주환, 정원창",5 ,공포,686470 ,17563966 ,120697397 
극장판 꼬마버스 타요의 에이스 구출작전,2016.1.21,1,135398 ,200 ,5395 ,기타,류정우,"문남숙, 정혜옥, 최하나, 김영선",9 ,애니메이션,541592 ,15798986 ,120697397 
로마의 휴일,2017.8.30,3,134827 ,436 ,10999 ,기타,이덕희,"임창정, 공형진, 정상훈",7 ,"코미디, 드라마",3791930 ,765074465 ,120697397 
맨홀,2014.10.8,4,133663 ,286 ,10324 ,롯데,신재영,"정경호, 정유미, 김새론",4 ,"공포, 스릴러",24924538 ,121834602 ,159188751 
나의 절친 악당들,2015.6.25,2,133553 ,384 ,9830 ,기타,임상수,"류승범, 고준희, 류현경, 샘 오취리",5 ,"액션, 범죄, 드라마",16552940 ,1011969988 ,120697397 
오늘,2011.10.27,4,131896 ,207 ,7242 ,롯데,이정향,"송혜교, 남지현, 송창의, 기태영",8 ,드라마,2152185 ,554968598 ,159188751 
시간위의 집,2017.4.5,2,128975 ,454 ,10971 ,기타,임대웅,"김윤진, 택연, 조재윤",8 ,"미스터리, 스릴러",14690651 ,143508695 ,120697397 
퇴마: 무녀굴,2015.8.20,3,120802 ,331 ,6463 ,기타,김휘,"김성균, 유선, 천호진, 차예련, 김혜성, 임화영",7 ,"공포, 스릴러",29252873 ,121834602 ,120697397 
최강전사 미니특공대: 영웅의 탄생,2016.2.4,1,117170 ,349 ,4863 ,기타,이영준,,8 ,애니메이션,0 ,15798986 ,120697397 
배우는 배우다,2013.10.24,4,111948 ,297 ,9265 ,넥스트,신연식,"이준, 서영희",7 ,드라마,8411569 ,554968598 ,160156018 
히트,2011.10.13,4,110631 ,171 ,5960 ,넥스트,이성한,"한재석, 송영창, 정성화, 박성웅, 이하늬, 윤택, 마르코",4 ,"드라마, 액션, 코미디",51147508 ,1069418675 ,160156018 
